,Name,Developer,Initial release,Version,Date,Program­ming language,Cost (US$),License,GUI,TUI or CLI
0,Acme,Rob Pike,1993,Plan 9 and Inferno,,C,No cost,MITGPL-2.0-onlyLPL-1.02,,
1,AkelPad,Alexey KuznetsovAlexander Shengalts,2003,,,C,No cost,BSD-2-Clause,,
2,Alphatk,Vince Darley,1999,8.3.3[1],2004-12-10,,$40,"Proprietary, with BSD components",,
3,Atom,GitHub,2014,1.63.1[2],2022-11-23,"HTML, CSS, JavaScript, C++",No cost,MIT,,
4,BBEdit,Rich Siegel,1992,15.0.3[3],2024-04-08,"Objective-C, Objective-C++","No cost for most features, $49.99 for full version",Proprietary,,
5,Bluefish,Bluefish Development Team,1999,2.2.15[4],2024-03-17,C,No cost,GPL-3.0-or-later,,
6,Brackets,Adobe Systems,2012,2.2.1[5],2023-03-22,"HTML, CSS, JavaScript, C++",No cost,MIT,,
7,Coda,Panic,2007,2.7.7[6],2020-11-05,Objective-C,$99,Proprietary,,
8,ConTEXT,ConTEXT Project Ltd,1999,,,Object Pascal (Delphi),No cost,BSD-3-Clause,,
9,Crimson Editor,Ingyu Kang,1999,3.72-r286m[7],2011-10-01,C++,No cost,Proprietary,,
10,CudaText,UVViewSoft[a],2015,1.200.0[8],2023-10-02,Object Pascal (Lazarus),No cost,MPL-2.0,,
11,ed,Ken Thompson,1970,unchanged from original,,C,No cost,?,,
12,Editra,Cody Precord,2007,0.7.20,2013-01-05,Python,No cost,wxWindows license,,
13,EmEditor,"Emurasoft, Inc.",1997,21.3.0,2021-11-24,C++,$39.99,Shareware,,
14,epsilon,Lugaru Software,1984,14.00[9],2020-10-20,C,$250,Proprietary,,
15,FeatherPad,Pedram Pourang,2016,1.4.1[10],2023-06-12,"C++, Qt",No cost,GPL-3.0-or-later,,
16,gedit,GNU Project,2000,46.1[11],2023-08-01,C,No cost,GPL-2.0-or-later,,
17,Geany,Enrico Tröger,2005,2.0.0[12],2023-10-19,"C, GTK+",No cost,GPL-2.0-or-later,,
18,GNU Emacs,Richard Stallman,1984,29.4[13],2024-06-22,"C, Emacs Lisp",No cost,GPL-3.0-or-later,,
19,GNU nano,Chris Allegretta,1999,8.1[14],2024-07-12,C,No cost,GPL-3.0-or-later,,
20,IA Writer,Information Architects,2010.09.22,5.6,2020-12-07,"Objective-C (iOS), Objective-C (macOS), C# (Windows), Java (Android)",$29.99,Proprietary,,
21,JED,John E. Davis,1992,0.99-19,2009-12-13,"C, S-Lang",No cost,GPL-2.0-or-later,,
22,jEdit,Slava Pestov,1998,5.6.0[15],2020-09-03,Java,No cost,GPL-2.0-or-later,,
23,JOE,Joseph Allen,1988,,,C,No cost,GPL,,
24,JOVE,Johnathon Payne,1983,,,C,No cost,JOVE license,,
25,Kate,KDE Project,2000-12,24.05.1[16],2024-06-13,C++,No cost,GPL,,
26,KEDIT,"Mansfield Software Group, Inc.",1983,1.6.1,2016-12-05,C,$129,Proprietary,,
27,Komodo Edit,Activestate,2007,12.0.1[17],2020-02-10,"Python, JavaScript, Perl, Tcl, PHP, Ruby",No cost,"MPL, GPL, LGPL",,
28,Komodo IDE,Activestate,2001,,,"Python, JavaScript, Perl, Tcl, PHP, Ruby",$295,Proprietary,,
29,KWrite,KDE Project,2000,24.02[18],2024-02-28,C++,No cost,GPL,,
30,LE,Alexander V. Lukyanov,1997,1.16.8[19],2021-02-05,C++,No cost,GPL-3.0-or-later,,
31,Leo,Edward K. Ream,1996,6.7.6[20],2023-12-19,Python,No cost,MIT,,
32,Light Table,Chris Granger,2012,0.8.1[21],2016-01-22,ClojureScript,No cost,MIT,,
33,mcedit,Miguel de Icaza,1994,4.8.31[22],2024-01-27,"C, Python, PHP, Javascript, Perl, Tcl, Ruby",No cost,GPL-3.0-or-later,,
34,Metapad,Alexander Davidson,1999,3.6[23][24],2011-05-28,C,No cost,GPL-3.0-or-later,,
35,mg,Dave Conroy,1986,current[b],2020-07-22,C,No cost,Public domain,,
36,MinEd,Thomas Wolff,1992,2022.27,2022-12-23,C,No cost,GPL,,
37,MS-DOS Editor,Microsoft,1991,2.0.026,,,"Bundled with MS-DOS, Microsoft Windows",Proprietary,,
38,ne,Sebastiano VignaTodd LewisDaniele Filaretti,1993,3.3.3[26],2023-10-19,C,No cost,GPL-3.0-or-later,,
39,NEdit,Mark Edel,1991,5.7[27],2017-02-08,C,No cost,GPL-2.0-or-later,,
40,Notepad,Microsoft,1985,11.2302.16.0,,MASM (originally),Bundled with Microsoft Windows,Proprietary,,
41,Notepad++,Don Ho,2003-11-25,8.6.9[28],2024-07-14,C++,No cost,GPL-3.0-or-later,,
42,nvi,Keith Bostic,1994,1.81.6[29],2007-11-18,C,No cost,BSD-3-Clause,,
43,Pico,University of Washington,1992,4.64,,C,No cost,Apache-2.0,,
44,PimNote,Pimtel,2023,1.2.0[30],2023-04-22,C#,No cost,Proprietary,,
45,PolyEdit,PolySoft Solutions,1998,5.4,2010‑04‑07,,$27.95,Shareware,,
46,PSPad,Jan Fiala,2002,5.0.7[31],2023-03-10,Object Pascal (Delphi),No cost,Proprietary,,
47,RJ TextEd,Rickard Johansson,2004,15.63[32],2022-09-29,Object Pascal (Delphi),No cost,Proprietary,,
48,Sam,Rob Pike,1980s (early),stable,,C,No cost,LPL (OSI approved),,
49,SciTE,Neil Hodgson,1999,5.3.7[33],2023-07-26,C++,$41.99 for macOS. No cost for others,HPND,,
50,SlickEdit,"SlickEdit, Inc.",1988,28.0.1,2024-01-21,"C, Slick-C",$299,Proprietary,,
51,Smultron,Peter Borg,2004,12.0.6,2020-01-03,Objective-C,$7.99,Proprietary,,
52,SubEthaEdit,TheCoding­Monkeys,2003,5.2.4[34],2022-01-08,,No cost,MIT,,
53,Sublime Text,"Jon Skinner, Sublime HQ",2008,4 (Build 4180)[35],2024-08-06,"C++, Python",$99,Shareware,,
54,TED Notepad,Juraj Simlovic,2001,6.3.1[36],2021-12-01,C,No cost,Proprietary,,
55,Textadept,Mitchell,2007,12.4[37],2024-05-01,"C, Lua",No cost,MIT,,
56,TextEdit,Apple Inc.,2001,1.18,2022-10-24,,No cost (also bundled with macOS),BSD-3-Clause,,
57,TextMate,MacroMates,2004-10-10,2.0.23[38],2021-10-12,Objective-C++,No cost,GPL-3.0-or-later,,
58,TextPad,Helios Software Solutions,1992,9.3.0[39],2023-08-01,,$30.00 (£16.50),Shareware,,
59,TextWrangler,Bare Bones Software,2003,5.5.2,2016-09-20,,No cost,Proprietary,,
60,The SemWare Editor,Sammy Mitchell,1985-11,4.49[40],2023-01,"C, SAL",No cost,BSD-2-Clause,,
61,UltraEdit,IDM Computer Solutions,1994,25.0,2018-03-12,C++,$99.95,Proprietary,,
62,VEDIT,"Ted Green, Greenview Data",1980,6.24.2,2015-01-12,"Assembly, C","$89 standard, $239 Pro64",Proprietary,,
63,vi,Bill Joy,1976,3.7,,C,No cost,BSD-4-Clause or CDDL,,
64,Vim,Bram Moolenaar,1991,9.1.0[41][42],2024-01-02,"C, Vim script",No cost,Vim,,
65,Visual Studio Code,Microsoft,2015,1.92.1[43],2024-08-08,"JavaScript, TypeScript",No cost,Source code: MIT[44]  Binaries built by Microsoft: Proprietary[45][46],,
66,XEmacs,Lucid Inc.,1991,21.4.22[47],2009-01-30,"C, Emacs Lisp",No cost,GPL-2.0-or-later,,
67,XNEdit,Olaf Wintermann,2018,1.5.2,2023-10-05,C,No cost,GPL-2.0-or-later,,
