,Unnamed: 0,Name,Country,Brand,Categories,Tasting Notes,ABV,Base Ingredient,Years Aged,Rating,Rate Count,Price,Volume,Description
0,181,Jack Daniel’s Old No. 7 Tennessee Whiskey,United States,Jack Daniels,"Bourbon, Whiskey",,40%,,,4.8,991,$24.00,750ml,"Jack Daniel's Tennessee Whiskey is the world's best selling whiskey, with every bottle distilled and bottled at the Jack Daniel Distillery in Lynchburg, Tennessee, America's oldest registered distillery, established in 1866. Made from the finest corn, rye, and barley malt these choice grains are mixed with the iron-free water that flows from the Cave Spring found on the distillery grounds. From there Jack Daniel's is charcoal mellowed drop by drop through 10 feet of sugar maple charcoal which imparts our distinct smoothness. Finally, Jack Daniel's is matured in handcrafted white oak barrels of our own making."
1,182,Jack Daniel’s Tennessee Honey,United States,Jack Daniels,"Flavored Whiskey, Whiskey",,35%,,,4.8,283,$46.93,,"Jack Daniel’s Tennessee Honey is a blend of Jack Daniel’s Tennessee Whiskey and a unique honey liqueur of our own making, for a taste that’s one-of-a-kind and unmistakably Jack. With hints of honey and a finish that’s naturally smooth, Jack Daniel’s Tennessee Honey is something special."
2,183,Jack Daniel’s Gentleman Jack Tennessee Whiskey,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,4.9,131,$32.99,,"Jack Daniel's Gentleman Jack  is an exceptionally smooth Tennessee whiskey with a rich, rewarding taste and a gentle farewell. Crafted by combining traditional methods with a unique process that’s all its own, Gentleman Jack undergoes a second charcoal mellowing to achieve exceptional smoothness."
3,184,Jack Daniel’s Tennessee Fire Flavored Whiskey,United States,Jack Daniels,"Flavored Whiskey, Whiskey",,35%,,,4.9,68,$24.99,,"Jack Daniel’s Tennessee Fire delivers a rich, complex and multi-dimensional tasting experience; Jack Daniel's Tennessee Whiskey, on its own, brings flavors of toasted wood, roasted nuts and vanilla beans. Our proprietary and unique cinnamon liqueur perfectly complements the whiskey flavors by adding warm, indulgent and spicy notes of ground cinnamon, delicate cinnamon bark, and spicy clove. The result: a delicious Jack."
4,185,Jack Daniel’s Tennessee Apple Flavored Whiskey,United States,Jack Daniels,"Flavored Whiskey, Whiskey",,35%,,,5.0,44,$24.99,,"Highly versatile, deliciously smooth, and refreshing, Jack Apple combines our proprietary crisp, green apple liqueur with the unique and unmistakable character of Jack Daniel’s. It’s an apple-flavored whiskey* that only Jack Daniel’s can deliver."
5,186,Jack Daniel’s Tennessee Cider Winter Jack,United States,Jack Daniels,"Flavored Whiskey, Whiskey",,15%,,,5.0,39,$18.99,,"Jack Daniel’s Winter Jack is a seasonal blend of apple cider liqueur, Jack Daniel’s Old No. 7 Tennessee Whiskey and holiday spices, based on an original family recipe from Jack’s home in Lynchburg, Tennessee. Even if you live in a place where it’s never cold or snowy, you’ll never regret being prepared. Our heartwarming Tennessee Cider should always be enjoyed with friends and family."
6,187,Jack Daniel’s Single Barrel Select Tennessee Whiskey,United States,Jack Daniels,"American Whiskey, Whiskey",,47%,,,4.6,26,$53.99,,"Jack Daniel’s Single Barrel Select is hand selected from the highest reaches of the barrel house and  bottled in the smallest of batches, just one barrel at a time, at 94 proof with robust character and notes of caramel and spice."
7,188,Jack Daniel’s Rye Tennessee Whiskey,United States,Jack Daniels,"Rye Whiskey, Whiskey",,45%,,,5.0,23,$25.99,,"Jack Daniel's Tennessee Rye brings together two classics - Rye's distinctive flavor, drawn from our unique 70% Rye grain bill, and Jack's time-honored charcoal mellowing method. What emerges is a spicy whiskey that's sipping' smooth."
8,191,Jack Daniel’s Single Barrel Barrel Proof Tennessee Whiskey,United States,Jack Daniels,"American Whiskey, Whiskey",,45%,,,5.0,12,$64.99,,"It’s whiskey as nature intended it—bottled straight from the barrel at its full proof. Intense, smooth, and remarkably varied, Barrel Proof is bottled at anywhere from 125 to 140-proof, taking Jack’s trademark vanilla and toasted oak flavors to bold new levels."
9,192,Jack Daniel’s Sinatra Select Tennessee Whiskey,United States,Jack Daniels,"American Whiskey, Whiskey",,45%,,,5.0,10,$109.99,1L,"Sinatra Select pays tribute to Jack’s biggest fan: Frank Sinatra. Made with our unique “Sinatra Barrels” that have deep grooves specially carved into their staves to expose the whiskey to extra layers of toasted oak. This added exposure imparts a rich amber color, bold character, and pleasant smokiness, punctuated by an incredibly smooth vanilla finish. Much like Frank, this Tennessee Whiskey is one of a kind."
10,193,Jack Daniel’s Tennessee Whiskey Green Label,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,9,$24.99,,"A less-aged variant JD, difficult-to-find but well worth the effort. Jack Daniel's Green Label is lighter and much less sweet than the No.7 and is brilliant in cocktails."
11,194,Jack Daniel’s Old No. 7 Gift Set,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,7,$24.19,,"Jack Daniel's Tennessee Whiskey Old No. 7 Black Label is America's best known whiskey. Oak aged and char filtered there are notes of cherry and vanilla with a rich palate and dry finish.

Contents and packaging may vary based on store availability. Please contact Customer Support with any questions."
12,195,Jack Daniel’s No. 27 Gold,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,5.0,5,$107.99,,"Jack Daniel’s No. 27 Gold is crafted to the same uncompromising standards as Old No. 7, but then twice charcoal mellowed to be luxuriously smooth and extra matured in golden-hued maple barrels for a rich, warm finish. This refined expression of our original Tennessee Whiskey is only available in select markets around the world."
13,196,Gentleman Jack Gift Set,United States,Jack Daniels,"American Whiskey, Whiskey",,40%,,,4.0,5,$30.99,,
